description,industry,level,size,line_code,value
Awareness of government policies and programmes: Don't know,"Rental, hiring, & real estate services",1,total,C0400.04,99
Awareness of government policies and programmes: Don't know,"Professional, scientific, & technical services",1,total,C0400.04,183
Awareness of government policies and programmes: Don't know,Computer systems design,2,total,C0400.04,42
Awareness of government policies and programmes: Don't know,Other professional scientific,2,total,C0400.04,147
Awareness of government policies and programmes: Don't know,Administrative & support services,1,total,C0400.04,90
Awareness of government policies and programmes: Don't know,Education & training,1,total,C0400.04,72
Awareness of government policies and programmes: Don't know,Health care & social assistance,1,total,C0400.04,273
Awareness of government policies and programmes: Don't know,Arts & recreation services,1,total,C0400.04,39
Awareness of government policies and programmes: Don't know,Other services,1,total,C0400.04,90
Awareness of government policies and programmes: Don't know,total,0,total,C0400.04,3339
Experienced due to climate change and associated policies: Reduced demand,total,0,6–19 employees,C0501,1782
Experienced due to climate change and associated policies: Reduced demand,total,0,20–49 employees,C0501,291
Experienced due to climate change and associated policies: Reduced demand,total,0,50–99 employees,C0501,126
Experienced due to climate change and associated policies: Reduced demand,total,0,100+ employees,C0501,87
Experienced due to climate change and associated policies: Reduced demand,"Agriculture, forestry, & fishing",1,total,C0501,201
Experienced due to climate change and associated policies: Reduced demand,Agriculture,2,total,C0501,57
Experienced due to climate change and associated policies: Reduced demand,Commercial fishing,2,total,C0501,3
Experienced due to climate change and associated policies: Reduced demand,Forestry & logging,2,total,C0501,9
Experienced due to climate change and associated policies: Reduced demand,"Agriculture, forestry, & fishing support services",2,total,C0501,132
Experienced due to climate change and associated policies: Reduced demand,Mining,1,total,C0501,12
Experienced due to climate change and associated policies: Reduced demand,Manufacturing,1,total,C0501,261
Experienced due to climate change and associated policies: Reduced demand,"Food, beverage, & tobacco",2,total,C0501,57
Experienced due to climate change and associated policies: Reduced demand,"Textile, clothing, footwear, & leather",2,total,C0501,0
Experienced due to climate change and associated policies: Reduced demand,Wood & paper product,2,total,C0501,21
Experienced due to climate change and associated policies: Reduced demand,"Printing, publishing, & recorded media",2,total,C0501,36
Experienced due to climate change and associated policies: Reduced demand,"Petroleum, coal, chemical, & associated product",2,total,C0501,27
Experienced due to climate change and associated policies: Reduced demand,Non-metallic mineral product,2,total,C0501,6
Experienced due to climate change and associated policies: Reduced demand,Metal product,2,total,C0501,39
Experienced due to climate change and associated policies: Reduced demand,Transport and industrial machinery & equipment,2,total,C0501,63
Experienced due to climate change and associated policies: Reduced demand,Other machinery & equipment,2,total,C0501,12
Experienced due to climate change and associated policies: Reduced demand,Other manufacturing,2,total,C0501,0
Experienced due to climate change and associated policies: Reduced demand,"Electricity, gas, water, & waste services",1,total,C0501,9
Experienced due to climate change and associated policies: Reduced demand,Construction,1,total,C0501,288
Experienced due to climate change and associated policies: Reduced demand,Wholesale trade,1,total,C0501,147
Experienced due to climate change and associated policies: Reduced demand,Machinery & equipment wholesaling,2,total,C0501,21
Experienced due to climate change and associated policies: Reduced demand,Other wholesale trade,2,total,C0501,123
Experienced due to climate change and associated policies: Reduced demand,Retail trade,1,total,C0501,438
Experienced due to climate change and associated policies: Reduced demand,Accommodation & food services,1,total,C0501,606
Experienced due to climate change and associated policies: Reduced demand,"Transport, postal, & warehousing",1,total,C0501,96
Experienced due to climate change and associated policies: Reduced demand,Information media & telecommunications,1,total,C0501,12
Experienced due to climate change and associated policies: Reduced demand,Publishing,2,total,C0501,9
Experienced due to climate change and associated policies: Reduced demand,Motion picture,2,total,C0501,0
Experienced due to climate change and associated policies: Reduced demand,Telecommunications,2,total,C0501,0
Experienced due to climate change and associated policies: Reduced demand,Financial & insurance services,1,total,C0501,9
Experienced due to climate change and associated policies: Reduced demand,Finance,2,total,C0501,3
Experienced due to climate change and associated policies: Reduced demand,Insurance,2,total,C0501,0
Experienced due to climate change and associated policies: Reduced demand,Auxiliary,2,total,C0501,6
Experienced due to climate change and associated policies: Reduced demand,"Rental, hiring, & real estate services",1,total,C0501,21
Experienced due to climate change and associated policies: Reduced demand,"Professional, scientific, & technical services",1,total,C0501,39
Experienced due to climate change and associated policies: Reduced demand,Computer systems design,2,total,C0501,3
Experienced due to climate change and associated policies: Reduced demand,Other professional scientific,2,total,C0501,36
Experienced due to climate change and associated policies: Reduced demand,Administrative & support services,1,total,C0501,63
Experienced due to climate change and associated policies: Reduced demand,Education & training,1,total,C0501,30
Experienced due to climate change and associated policies: Reduced demand,Health care & social assistance,1,total,C0501,36
Experienced due to climate change and associated policies: Reduced demand,Arts & recreation services,1,total,C0501,12
Experienced due to climate change and associated policies: Reduced demand,Other services,1,total,C0501,3
Experienced due to climate change and associated policies: Reduced demand,total,0,total,C0501,2286
Experienced due to climate change and associated policies: Increased demand,total,0,6–19 employees,C0502,2835
Experienced due to climate change and associated policies: Increased demand,total,0,20–49 employees,C0502,789
Experienced due to climate change and associated policies: Increased demand,total,0,50–99 employees,C0502,231
Experienced due to climate change and associated policies: Increased demand,total,0,100+ employees,C0502,231
Experienced due to climate change and associated policies: Increased demand,"Agriculture, forestry, & fishing",1,total,C0502,414
Experienced due to climate change and associated policies: Increased demand,Agriculture,2,total,C0502,276
Experienced due to climate change and associated policies: Increased demand,Commercial fishing,2,total,C0502,3
Experienced due to climate change and associated policies: Increased demand,Forestry & logging,2,total,C0502,24
Experienced due to climate change and associated policies: Increased demand,"Agriculture, forestry, & fishing support services",2,total,C0502,111
Experienced due to climate change and associated policies: Increased demand,Mining,1,total,C0502,15
Experienced due to climate change and associated policies: Increased demand,Manufacturing,1,total,C0502,486
Experienced due to climate change and associated policies: Increased demand,"Food, beverage, & tobacco",2,total,C0502,72
Experienced due to climate change and associated policies: Increased demand,"Textile, clothing, footwear, & leather",2,total,C0502,24
Experienced due to climate change and associated policies: Increased demand,Wood & paper product,2,total,C0502,33
Experienced due to climate change and associated policies: Increased demand,"Printing, publishing, & recorded media",2,total,C0502,6
Experienced due to climate change and associated policies: Increased demand,"Petroleum, coal, chemical, & associated product",2,total,C0502,72
Experienced due to climate change and associated policies: Increased demand,Non-metallic mineral product,2,total,C0502,30
Experienced due to climate change and associated policies: Increased demand,Metal product,2,total,C0502,99
Experienced due to climate change and associated policies: Increased demand,Transport and industrial machinery & equipment,2,total,C0502,84
Experienced due to climate change and associated policies: Increased demand,Other machinery & equipment,2,total,C0502,30
Experienced due to climate change and associated policies: Increased demand,Other manufacturing,2,total,C0502,33
Experienced due to climate change and associated policies: Increased demand,"Electricity, gas, water, & waste services",1,total,C0502,33
Experienced due to climate change and associated policies: Increased demand,Construction,1,total,C0502,888
Experienced due to climate change and associated policies: Increased demand,Wholesale trade,1,total,C0502,351
